,ticker,date,commonstocksharesissued,assetscurrent,accountspayablecurrent,commonstockvalue,liabilities,liabilitiesandstockholdersequity,stockholdersequity,earningspersharebasic,netincomeloss,profitloss,costofgoodssold,costsandexpenses,cash,preferredstockvalue,depreciation,operatingexpenses,revenues,land,deferredrevenue,grossprofit,sharesissued,commercialpaper,costofservices,debtcurrent,salariesandwages,change,pct_change
713,CSCO,2009-11-18,5751000000.0,44697000000.0,729000000.0,0.0,28654000000.0,68680000000.0,40002000000.0,0.31,1787000000.0,1787000000.0,2486000000.0,0.0,0.0,0.0,0.0,3764000000.0,9118000000.0,0.0,11083000000.0,5888000000.0,5751000000.0,513000000.0,647000000.0,3127000000.0,245000.0,-0.08999999999999986,-0.0037359900373598945
714,CSCO,2010-02-17,5785000000.0,44177000000.0,675000000.0,0.0,29451000000.0,68128000000.0,38647000000.0,0.32,1853000000.0,1787000000.0,2815000000.0,0.0,0.0,0.0,0.0,3962000000.0,9118000000.0,0.0,11083000000.0,6332000000.0,5785000000.0,513000000.0,668000000.0,3127000000.0,245000.0,0.07000000000000028,0.0029166666666666785
715,CSCO,2010-05-26,5722000000.0,49758000000.0,902000000.0,0.0,35440000000.0,79292000000.0,43830000000.0,0.38,2192000000.0,1787000000.0,3010000000.0,0.0,0.0,0.0,0.0,4285000000.0,9118000000.0,0.0,11083000000.0,6630000000.0,5722000000.0,513000000.0,728000000.0,3127000000.0,245000.0,-0.41999999999999815,-0.018018018018017938
716,CSCO,2010-09-21,5655000000.0,51421000000.0,895000000.0,0.0,36845000000.0,81130000000.0,44267000000.0,0.34,1935000000.0,1787000000.0,11620000000.0,0.0,0.0,0.0,0.0,16479000000.0,9118000000.0,0.0,11083000000.0,6793000000.0,5655000000.0,513000000.0,2777000000.0,15241000000.0,245000.0,-0.10989999999999966,-0.0050528967949277775
717,CSCO,2010-11-23,5577000000.0,50406000000.0,945000000.0,0.0,35320000000.0,80015000000.0,44675000000.0,0.34,1930000000.0,1787000000.0,3249000000.0,0.0,0.0,0.0,0.0,4404000000.0,9118000000.0,0.0,10736000000.0,3788000000.0,5577000000.0,513000000.0,746000000.0,15241000000.0,245000.0,-0.35999999999999943,-0.018404907975460096
718,CSCO,2011-02-23,5533000000.0,52066000000.0,796000000.0,0.0,36295000000.0,81981000000.0,45641000000.0,0.27,1521000000.0,1787000000.0,3382000000.0,0.0,0.0,0.0,0.0,4577000000.0,9118000000.0,0.0,11807000000.0,3448000000.0,5533000000.0,513000000.0,764000000.0,15241000000.0,245000.0,-0.19000000000000128,-0.010220548682087213
719,CSCO,2011-05-25,5501000000.0,55204000000.0,799000000.0,0.0,38144000000.0,85350000000.0,47163000000.0,0.33,1807000000.0,1787000000.0,3437000000.0,0.0,0.0,0.0,0.0,4476000000.0,9118000000.0,0.0,11699000000.0,3683000000.0,5501000000.0,513000000.0,770000000.0,581000000.0,245000.0,-0.0799999999999983,-0.004917025199754044
720,CSCO,2011-09-14,5435000000.0,57231000000.0,876000000.0,0.0,39836000000.0,87095000000.0,7284000000.0,0.22,1232000000.0,1787000000.0,13647000000.0,0.0,0.0,0.0,0.0,18862000000.0,9118000000.0,0.0,248000000.0,6861000000.0,5435000000.0,3000000000.0,3035000000.0,588000000.0,245000.0,-0.020000000000003126,-0.0012232415902142585
721,CSCO,2011-11-22,5371000000.0,57267000000.0,908000000.0,0.0,39750000000.0,86964000000.0,47188000000.0,0.33,1777000000.0,1787000000.0,3563000000.0,0.0,0.0,0.0,0.0,4680000000.0,9118000000.0,0.0,234000000.0,1754000000.0,5371000000.0,3000000000.0,803000000.0,589000000.0,12000000.0,-0.0799999999999983,-0.00444444444444435
722,CSCO,2012-02-21,5378000000.0,59298000000.0,791000000.0,0.0,39994000000.0,89259000000.0,49246000000.0,0.41,2182000000.0,1787000000.0,3650000000.0,0.0,0.0,0.0,0.0,4331000000.0,9118000000.0,0.0,12462000000.0,-128000000.0,5378000000.0,3000000000.0,812000000.0,605000000.0,12000000.0,0.0,0.0
