iter	RMSE
0	4.521468683
1	4.48971381
2	4.474241658
3	4.455937178
4	4.429620946
5	4.403018121
6	4.383688039
7	4.36003422
8	4.341469557
9	4.327071308
10	4.308228571
11	4.287165539
12	4.268110325
13	4.248291863
14	4.228753891
15	4.211452928
16	4.188376294
17	4.168508458
18	4.155923937
19	4.126146905
20	4.105367527
21	4.088076692
22	4.072647208
23	4.053972996
24	4.041409354
25	4.016415891
26	3.993725896
27	3.983119481
28	3.961474592
29	3.944534714
30	3.927615769
31	3.910797222
32	3.891991984
33	3.876924282
34	3.859178043
35	3.843155763
36	3.824793485
37	3.809375566
38	3.792077208
39	3.773559497
40	3.755063149
41	3.736972071
42	3.727800331
43	3.709188878
44	3.689526354
45	3.677330416
46	3.661618156
47	3.651862936
48	3.634371359
49	3.612805404
50	3.595987248
51	3.583547141
52	3.564234566
53	3.547604559
54	3.532964992
55	3.518694549
56	3.50596589
57	3.498971928
58	3.48592072
59	3.480456295
60	3.466365335
61	3.450423705
62	3.436333137
63	3.413632519
64	3.403021867
65	3.396620655
66	3.381779541
67	3.369176813
68	3.356237601
69	3.343441256
70	3.335372531
71	3.318568658
72	3.309126063
73	3.2950403
74	3.283917249
75	3.269286527
76	3.255734134
77	3.245820047
78	3.232556966
79	3.222629806
80	3.209450571
81	3.19488194
82	3.182505313
83	3.16983231
84	3.157716501
85	3.146688078
86	3.130348795
87	3.119476207
88	3.109762708
89	3.091976083
90	3.081555564
91	3.069281549
92	3.056031748
93	3.043193294
94	3.034453652
95	3.02088671
96	3.016313383
97	3.001376082
98	2.993873006
99	2.976314724
100	2.965873877
101	2.954678324
102	2.945842224
103	2.940738489
104	2.929624188
105	2.91893839
106	2.909023772
107	2.899522262
108	2.886689732
109	2.883289238
110	2.871021608
111	2.860042569
112	2.84703274
113	2.835020814
114	2.83076556
115	2.822188315
116	2.810551792
117	2.798414372
118	2.790523695
119	2.783995686
120	2.769766486
121	2.757734665
122	2.748828151
123	2.736690505
124	2.728835555
125	2.727144813
126	2.714379133
127	2.706220794
128	2.695000713
129	2.679728792
130	2.667960861
131	2.658064985
132	2.650230386
133	2.641161662
134	2.628857375
135	2.619465208
136	2.608707299
137	2.599475851
138	2.586309168
139	2.577839526
140	2.570811168
141	2.563050518
142	2.553042566
143	2.546331851
144	2.537547042
145	2.531268659
146	2.523603378
147	2.517201322
148	2.507300249
149	2.493186578
150	2.485073575
151	2.471860716
152	2.462274201
153	2.452937143
154	2.441069893
155	2.430814747
156	2.426215533
157	2.411189273
158	2.404063172
159	2.397585788
160	2.38587998
161	2.379314961
162	2.374957119
163	2.36772496
164	2.359697699
165	2.353753322
166	2.343055271
167	2.334659164
168	2.326485587
169	2.317458615
170	2.310702973
171	2.304036523
172	2.295707607
173	2.289213658
174	2.282314682
175	2.274489506
176	2.271934293
177	2.26775683
178	2.261291937
179	2.254803448
180	2.248592968
181	2.240820978
182	2.235671552
183	2.226508958
184	2.218381342
185	2.20901335
186	2.201602735
187	2.195170362
188	2.188929473
189	2.182562249
190	2.176106307
191	2.17122015
192	2.158258162
193	2.148586337
194	2.145762481
195	2.1361126
196	2.126954639
197	2.120689314
198	2.114897128
199	2.109071679
200	2.100243949
201	2.094387519
202	2.087628986
203	2.080049574
204	2.073581605
205	2.066393297
206	2.057638719
207	2.049668016
208	2.042523182
209	2.039107711
210	2.032438662
211	2.026166299
212	2.023741375
213	2.016839443
214	2.010411933
215	2.002984246
216	1.995920048
217	1.98860619
218	1.978360305
219	1.972802985
220	1.965234012
221	1.957049168
222	1.953813522
223	1.947618548
224	1.93942005
225	1.930606324
226	1.921336583
227	1.913812604
228	1.905670667
229	1.899933702
230	1.89330887
231	1.892008076
232	1.887542895
233	1.876422663
234	1.873526509
235	1.866731765
236	1.860745295
237	1.854945332
238	1.848782721
239	1.842742715
240	1.835677714
241	1.829796222
242	1.823863693
243	1.817851834
244	1.811909929
245	1.804235446
246	1.799659233
247	1.79433101
248	1.790240269
249	1.786449329
250	1.781250584
251	1.772738902
252	1.766384929
253	1.761289514
254	1.754187265
255	1.749071704
256	1.744111037
257	1.738535566
258	1.733429457
259	1.729141164
260	1.723286835
261	1.721002582
262	1.717985179
263	1.713863876
264	1.708320872
265	1.701602165
266	1.695457552
267	1.692378691
268	1.686915636
269	1.681413107
270	1.67484551
271	1.669020394
272	1.665134451
273	1.660769298
274	1.654028574
275	1.65067578
276	1.646116245
277	1.637646468
278	1.631515952
279	1.625413387
280	1.620571101
281	1.617474189
282	1.614668262
283	1.608782185
284	1.605361623
285	1.601317967
286	1.596700678
287	1.592198277
288	1.582691167
289	1.573684559
290	1.5712448
291	1.564758636
292	1.562451519
293	1.558175409
294	1.553018663
295	1.548095412
296	1.544471168
297	1.539791671
298	1.535120516
299	1.526115953
300	1.522071674
301	1.516224257
302	1.512418927
303	1.510480207
304	1.504454093
305	1.494955538
306	1.490690175
307	1.48597781
308	1.480170563
309	1.475877164
310	1.471278398
311	1.465970743
312	1.463161958
313	1.458856041
314	1.45673003
315	1.454097433
316	1.450076085
317	1.447149108
318	1.443259321
319	1.439106688
320	1.434761322
321	1.428222575
322	1.424255329
323	1.421079922
324	1.419005434
325	1.414998235
326	1.411072998
327	1.408597685
328	1.40488727
329	1.402257342
330	1.397077496
331	1.393510414
332	1.384686297
333	1.378349668
334	1.371823375
335	1.367240599
336	1.361659114
337	1.356793948
338	1.353976459
339	1.350090116
340	1.345158964
341	1.340200539
342	1.33508419
343	1.329785892
344	1.321740693
345	1.317320858
346	1.313449859
347	1.307048191
348	1.303400647
349	1.299755179
350	1.296254953
351	1.292357912
352	1.285277246
353	1.280978218
354	1.279034497
355	1.27468929
356	1.270572288
357	1.264859297
358	1.260893199
359	1.258608475
360	1.253387819
361	1.249251431
362	1.243930069
363	1.239067258
364	1.231368606
365	1.223978931
366	1.219089794
367	1.216520577
368	1.21233591
369	1.206683618
370	1.202139448
371	1.199697583
372	1.198027796
373	1.195545803
374	1.19251373
375	1.186739317
376	1.181474161
377	1.17997305
378	1.176033541
379	1.171091843
380	1.169983042
381	1.167208607
382	1.163183618
383	1.160962186
384	1.158499182
385	1.157458221
386	1.155177407
387	1.151831734
388	1.147096037
389	1.145696647
390	1.141272847
391	1.137381241
392	1.136248455
393	1.133019354
394	1.130932049
395	1.127473555
396	1.125253581
397	1.123961846
398	1.120686443
399	1.119368991
400	1.11837369
401	1.113610007
402	1.11136039
403	1.107326911
404	1.104016871
405	1.102039246
406	1.099295728
407	1.092738036
408	1.087995031
409	1.086078125
410	1.083627665
411	1.080481891
412	1.078601544
413	1.075577544
414	1.068546613
415	1.063300676
416	1.061846159
417	1.057923293
418	1.051953759
419	1.046489868
420	1.043249577
421	1.042307597
422	1.041414159
423	1.037604395
424	1.034990872
425	1.03259224
426	1.030353494
427	1.026893081
428	1.023411225
429	1.019328231
430	1.016420748
431	1.013619723
432	1.012682586
433	1.009492613
434	1.006336703
435	1.001293772
436	0.9989458623
437	0.9933546687
438	0.9890668624
439	0.9851067972
440	0.9841696792
441	0.9810907805
442	0.9788485017
443	0.9765593
444	0.9744184493
445	0.9711772919
446	0.9679385687
447	0.9642376546
448	0.9603760289
449	0.9575217422
450	0.9533633761
451	0.9501264307
452	0.947160791
453	0.9424445324
454	0.9393434201
455	0.9372023182
456	0.9358895721
457	0.935158719
458	0.9306701541
459	0.9274687307
460	0.9252432938
461	0.9229185103
462	0.9214242699
463	0.9163212038
464	0.9138910839
465	0.9123988177
466	0.9095279655
467	0.9074087647
468	0.9054010182
469	0.901852464
470	0.8990320577
471	0.8966419722
472	0.8943708617
473	0.8916936937
474	0.8909464057
475	0.885243914
476	0.882679471
477	0.8784037785
478	0.8745086006
479	0.8715522905
480	0.8708076045
481	0.8682114507
482	0.86392877
483	0.8614787844
484	0.8582959584
485	0.8540932051
486	0.850503355
487	0.8486678982
488	0.8457179658
489	0.8429794665
490	0.838881976
491	0.8361944158
492	0.8319189739
493	0.82959038
494	0.8268860337
495	0.8246469617
496	0.8236136376
497	0.822878516
498	0.8210350958
499	0.8181130641
500	0.8158708919
501	0.8152567584
502	0.8116108566
503	0.8089405469
504	0.8049477069
505	0.8043725051
506	0.8016539574
507	0.7994746121
508	0.7965096993
509	0.7950642242
510	0.7930308332
511	0.7905151008
512	0.7878906941
513	0.7860900339
514	0.7855279128
515	0.7830263311
516	0.7786986748
517	0.7770089263
518	0.7741882976
519	0.7715903202
520	0.7667997229
521	0.7656387539
522	0.763037073
523	0.760658583
524	0.7572843686
525	0.7546502315
526	0.7521213644
527	0.7478342661
528	0.7429557511
529	0.7405400609
530	0.7388218783
531	0.7369885161
532	0.7363656813
533	0.7347588808
534	0.7315346621
535	0.7286640144
536	0.7267913873
537	0.7239825258
538	0.722637338
539	0.7188256179
540	0.7152566844
541	0.712266212
542	0.7099749985
543	0.7074591469
544	0.7037060245
545	0.7029304192
546	0.7006543812
547	0.6980839341
548	0.6975382509
549	0.693769006
550	0.6899890409
551	0.6891399373
552	0.6867261418
553	0.6835295829
554	0.681174774
555	0.6772829463
556	0.6747355638
557	0.6735936322
558	0.6718537319
559	0.6696192911
560	0.6664061623
561	0.6642063336
562	0.6627197189
563	0.6612228719
564	0.6590426934
565	0.6568511608
566	0.6530590888
567	0.6500831564
568	0.6484295895
569	0.6449772114
570	0.6413139338
571	0.6402093303
572	0.6364176771
573	0.634941953
574	0.6327141436
575	0.6301118486
576	0.6284542807
577	0.6271737877
578	0.6250132609
579	0.6217551123
580	0.6193859312
581	0.6179382279
582	0.616217753
583	0.613716068
584	0.6121889169
585	0.6102077816
586	0.6080467462
587	0.6055181979
588	0.6041984919
589	0.6015028923
590	0.5991706174
591	0.596172072
592	0.5942268745
593	0.5923196506
594	0.5908157843
595	0.588197403
596	0.5873963189
597	0.585386694
598	0.5837937786
599	0.582139063
600	0.580155821
601	0.5788076061
602	0.5772073793
603	0.5756147374
604	0.5743900988
605	0.5726215976
606	0.5714090331
607	0.5708514225
608	0.5670042895
609	0.5655510031
610	0.5638345626
611	0.5627388016
612	0.5619407194
613	0.5589844811
614	0.5581478513
615	0.5552305471
616	0.5547516112
617	0.5524400932
618	0.5509313051
619	0.5494960129
620	0.5474811569
621	0.5457489977
622	0.5442903581
623	0.543364417
624	0.5411277881
625	0.5399516889
626	0.5390449508
627	0.5386086972
628	0.5358244685
629	0.5329979835
630	0.5325443893
631	0.531009676
632	0.5292009166
633	0.5269231718
634	0.526472521
635	0.5236063864
636	0.5224322756
637	0.5203521983
638	0.5197677286
639	0.518229255
640	0.5165884815
641	0.5145280842
642	0.5132463402
643	0.512005884
644	0.5091115234
645	0.5087348934
646	0.5080174878
647	0.5059154254
648	0.5027786074
649	0.5021146204
650	0.5007793902
651	0.498870724
652	0.4958396882
653	0.4939082803
654	0.4926993197
655	0.4923757341
656	0.4915860944
657	0.4900303142
658	0.4879552707
659	0.4875279362
660	0.4846591351
661	0.4822755353
662	0.4800517447
663	0.4777525887
664	0.4750373292
665	0.4737935094
666	0.4722964059
667	0.4709149423
668	0.4700859702
669	0.4686760364
670	0.4676348522
671	0.466704677
672	0.4652477115
673	0.4626292055
674	0.4614822937
675	0.4601636208
676	0.457351593
677	0.455294796
678	0.4540228307
679	0.4528647211
680	0.4514428001
681	0.4487440541
682	0.4460881642
683	0.4444032062
684	0.4440208466
685	0.4424152542
686	0.4405947434
687	0.4403570029
688	0.4393822543
689	0.4371827845
690	0.4363202023
691	0.4347726844
692	0.4326122301
693	0.4322388248
694	0.4319255093
695	0.4297730699
696	0.4290657655
697	0.4287062882
698	0.4269860664
699	0.424892754
700	0.4240693179
701	0.4227902191
702	0.4224852919
703	0.4199449806
704	0.419275082
705	0.4177377585
706	0.4174404547
707	0.4157047579
708	0.4135661483
709	0.4124039112
710	0.4115323509
711	0.411165496
712	0.4099199845
713	0.4086158118
714	0.4079747545
715	0.4064430362
716	0.4043747642
717	0.4040477538
718	0.4037122459
719	0.4026372243
720	0.4009083538
721	0.3999494908
722	0.3995824601
723	0.3992768014
724	0.397970316
725	0.3967104052
726	0.3955470328
727	0.3932462499
728	0.3925269622
729	0.391365723
730	0.3910534417
731	0.3895115044
732	0.3890287586
733	0.3882262085
734	0.38648506
735	0.3849089134
736	0.3832330928
737	0.3823327641
738	0.3818256323
739	0.3803585007
740	0.3792390355
741	0.3788949897
742	0.377033661
743	0.3762286091
744	0.3758891444
745	0.3745987966
746	0.3739707261
747	0.3724916263
748	0.371160859
749	0.370314104
750	0.3687994327
751	0.367082943
752	0.3654789876
753	0.3636720273
754	0.3634330386
755	0.3623601583
756	0.362073693
757	0.359947645
758	0.3584729591
759	0.357320102
760	0.3556510551
761	0.3542696962
762	0.3534696635
763	0.3532326856
764	0.3529616027
765	0.3522291721
766	0.3505872089
767	0.3494896134
768	0.3473658768
769	0.346148882
770	0.3454485569
771	0.3443458807
772	0.3430150684
773	0.3424971455
774	0.341386907
775	0.3407452081
776	0.3405181345
777	0.3392754932
778	0.3390136785
779	0.3376291773
780	0.3361241221
781	0.3359499817
782	0.335266569
783	0.3338159794
784	0.3326199584
785	0.3310850462
786	0.3308874317
787	0.3297715838
788	0.329155573
789	0.328673242
790	0.3276112005
791	0.3260512981
792	0.3250404106
793	0.3230261929
794	0.3227283125
795	0.3216064338
796	0.3209108457
797	0.3196779405
798	0.3181790149
799	0.317204161
800	0.3169111755
801	0.3152781966
802	0.3145759081
803	0.3141252233
804	0.3136222767
805	0.311624152
806	0.3106124446
807	0.3093950302
808	0.3080063117
809	0.3068088371
810	0.3056375662
811	0.3039453862
812	0.3021338415
813	0.3015116461
814	0.3007018123
815	0.2996676677
816	0.2994325601
817	0.2992070437
818	0.2978850038
819	0.2970531496
820	0.2959988828
821	0.2949597339
822	0.29436382
823	0.2933531614
824	0.2921469095
825	0.2910750132
826	0.289856286
827	0.2893356781
828	0.2880813258
829	0.287398133
830	0.2861325716
831	0.2858901132
832	0.2845320237
833	0.2831384464
834	0.282911984
835	0.2820298989
836	0.2808628532
837	0.2794823856
838	0.2790050843
839	0.2786833279
840	0.2777152816
841	0.2762775283
842	0.2756368539
843	0.2738794931
844	0.2733583985
845	0.2721080239
846	0.271360155
847	0.269945847
848	0.2687163494
849	0.2684949145
850	0.2678653968
851	0.2676955758
852	0.2671889223
853	0.2664585553
854	0.2660709437
855	0.2646334568
856	0.2631286855
857	0.2623427704
858	0.2611335738
859	0.260982368
860	0.2599823409
861	0.2591236317
862	0.2586391529
863	0.2579994648
864	0.2566626868
865	0.2554737436
866	0.2545895078
867	0.2539675907
868	0.2528550952
869	0.2513543671
870	0.2502595371
871	0.249784722
872	0.2487078542
873	0.2482105872
874	0.2469325814
875	0.2463861583
876	0.2460025012
877	0.2447005732
878	0.2441143023
879	0.2430383861
880	0.2421393713
881	0.2414424752
882	0.2402672942
883	0.2401227993
884	0.239208598
885	0.2379688918
886	0.237197262
887	0.2368069697
888	0.2357312101
889	0.2351538282
890	0.2345895828
891	0.2336653485
892	0.2333280362
893	0.2323401003
894	0.231470236
895	0.2311180307
896	0.2305610333
897	0.2295808648
898	0.2285646775
899	0.2282337708
900	0.2279888572
901	0.227527889
902	0.2266623496
903	0.2256954002
904	0.2255619834
905	0.2250967622
906	0.2243233269
907	0.2235659794
908	0.2234113229
909	0.2224809465
910	0.2212685263
911	0.2205486691
912	0.2198084058
913	0.2194146241
914	0.2188123849
915	0.2180468863
916	0.2177617253
917	0.2166335636
918	0.2159367458
919	0.215216254
920	0.2148357818
921	0.2143674859
922	0.2133596487
923	0.2126583947
924	0.2119144618
925	0.211215851
926	0.21057002
927	0.2101406459
928	0.2094542633
929	0.2089704009
930	0.2086499918
931	0.2084817414
932	0.2073567863
933	0.206632068
934	0.2061344388
935	0.2055408093
936	0.2044299676
937	0.2037943435
938	0.2033380838
939	0.2031593221
940	0.2027505777
941	0.2021888585
942	0.2018222841
943	0.201659881
944	0.2007710707
945	0.2001539073
946	0.199745205
947	0.1990981486
948	0.1989350811
949	0.1984903035
950	0.1978914834
951	0.1971111686
952	0.1964086279
953	0.1962108319
954	0.1960923928
955	0.1949225706
956	0.1942564023
957	0.1937219504
958	0.1935042476
959	0.1929766415
960	0.1928581212
961	0.1925187202
962	0.1920123749
963	0.1918143284
964	0.190744147
965	0.190370463
966	0.1897777985
967	0.1888008126
968	0.1877820154
969	0.1873353995
970	0.1867512007
971	0.1861328841
972	0.1860067712
973	0.1850231408
974	0.1843446048
975	0.1832944627
976	0.1827029119
977	0.1818625655
978	0.1814729008
979	0.1807889219
980	0.1801294861
981	0.1799683228
982	0.1798145975
983	0.1797140877
984	0.1793251586
985	0.1791199591
986	0.178313685
987	0.1774196768
988	0.1769069835
989	0.1760678977
990	0.1755461732
991	0.1750703663
992	0.174508661
993	0.1741954226
994	0.1740098899
995	0.1735377815
996	0.1728753482
997	0.1726201596
998	0.1723924374
999	0.1721492007
982739
997	0.1660219256
998	0.1654049003
999	0.1649997503
